Order ID,Item Name,Quantity
2096,aloo gobi,1
2096,bombay aloo,1
2096,chicken tikka jalfrezi,1
2096,keema naan,1
2096,kulcha naan,1
2096,peshwari naan,1
2096,plain rice,1
4487,bombay aloo,1
4487,curry,1
4487,lemon rice,1
4487,lime pickle,1
4487,mango chutney,1
4487,mint sauce,1
4487,onion chutney,1
4487,plain papadum,4
4487,tandoori chicken,1
4487,tandoori fish karahi,1
4488,butter chicken,1
4488,chicken balti,1
4488,keema naan,1
4488,mushroom rice,2
4488,saag paneer,1
4489,chapati,3
4489,madras,1
4489,vegetable curry,1
4490,lamb balti,1
4490,lamb chilli masala,1
4490,mixed raita,1
4490,tandoori chicken,1
4491,chicken tikka (main),1
4491,chicken tikka masala,1
4491,madras,1
4491,pilau rice,2
4491,vegetable curry,1
4492,aloo gobi,1
4492,chapati,2
4492,chicken biryani,1
4492,peshwari naan,1
4492,rogon,1
4493,bombay aloo,2
4493,curry,2
4493,madras,1
4493,naan,2
4494,chicken chilli masala,1
4494,chicken tikka jalfrezi,1
4494,chicken tikka masala,2
4494,mango chutney,1
4494,methi,1
4494,plain papadum,5
4494,plain rice,1
4494,red sauce,1
4494,special fried rice,4
4495,bombay aloo,1
4495,chicken chilli masala,1
4495,dahi,1
4495,kulcha naan,1
4495,madras,1
4495,peshwari naan,1
4495,pilau rice,1
4495,vegetable rice,1
4496,coke 1.5 ltr,1
4496,methi,1
4496,pilau rice,1
4496,tandoori chicken,1
4496,tandoori roti,1
4496,vegetable curry,1
4497,chapati,2
4497,curry,1
4497,french fries,1
4497,korma,1
4497,naan,1
4497,pilau rice,1
4497,plain papadum,2
4498,chicken tikka masala,1
4498,keema naan,1
4498,korma,2
4498,mango chutney,1
4498,mini bhaji,2
4498,mint sauce,1
4498,naan,1
4498,onion chutney,1
4498,peshwari naan,1
4498,pilau rice,2
4498,plain papadum,6
4498,red sauce,1
4499,chicken royal,1
4499,garlic chicken,1
4499,korma,1
4499,pilau rice,1
4499,special fried rice,1
4499,vegetable rice,1
4500,bhuna,1
4500,chicken tikka masala,1
4500,lamb tikka jalfrezi,1
4500,mushroom rice,1
4500,pilau rice,3
4500,rogon,1
4501,garlic naan,1
4501,garlic tikka chilli masala,1
4501,mango chutney,1
4501,onion chutney,1
4501,pilau rice,1
4501,plain papadum,4
