Item Name,count
methi,197
puree,196
king prawn puree,195
garlic chicken rice,195
curry lamb,187
lemon rice,185
lamb tikka masala,182
mushroom,177
paneer shashlick,168
pathia chicken,167
chicken shashlick curry,160
sheek kebab (main),157
rogon lamb,153
sheek kebab,149
dhansak chicken,148
rogon chicken,148
aloo brinjal,146
saag bhajee,145
brinjal bhajee,142
vindaloo sauce,138
madras chicken tikka,135
king prawn shashlick,131
achar chicken,127
tandoori king prawn masala,126
curry sauce,125
lamb hari mirch,123
persian chicken biryani,123
curry chicken tikka,123
dupiaza chicken,122
chicken chilli suka,121
bhuna chicken tikka,121
chana chaat,120
chicken hari mirch,119
saag lamb,116
aloo peas,116
chicken roshni,116
king prawn biryani,115
paneer sizzler,115
lemonade 1.5 ltr,107
king prawn royal,106
vegetable korma,104
tandoori paratha,101
paneer pakora,101
korma lamb,100
murgh masala,100
vegetable balti,100
king prawn butterfly,99
mushroom chicken,97
mixed starter,96
tandoori king prawn garlic,96
prawn biryani,92
korma chicken tikka,92
vindaloo lamb,87
lamb tikka (main),85
lamb tikka sizzler,85
lamb tikka balti,84
persian lamb biryani,82
cylon chicken,82
lamb tikka karahi,81
garlic mushroom,80
dhansak chicken tikka,79
lamb shashlick,78
garlic lamb,78
achar lamb,77
house white wine 75cl,76
bangon hari mirch,76
dupiaza lamb,74
lamb roshni,72
vindaloo chicken tikka,71
garlic mirch chicken,67
tandoori fish jalfrezi,67
dhansak lamb,67
curry king prawn,66
lamb tikka pasanda,64
garlic mirch lamb,64
bottle diet coke,61
chicken rezala,59
saag chicken,59
jeera chicken,59
lamb chilli masala,58
diet coke 1.5 ltr,57
lal mirch chicken,57
paneer karahi,55
vegetable karahi,55
dahi,55
aloo mithy,54
vegetable jalfrezi,54
tandoori fish karahi,52
vegetable masala,52
king prawn jalfrezi,51
king prawn karahi,51
cylon,49
jinga chillies,48
chicken sylhet,43
vegetable dansak,43
lal mirch lamb,43
egg paratha,42
king prawn balti,41
bombay,40
bombay chicken,40
vegetable samba,39
methi chicken,38
paneer dansak,38
curry prawn,37
prawn balti,37
lamb shashlick curry,37
madras king prawn,34
prawn karahi,33
keema aloo,31
korma prawn,30
lamb sylhet,30
malaya,30
pathia chicken tikka,29
methi lamb,27
paneer kurma,25
pathia lamb,25
korma king prawn,24
vegetable bhuna,24
pathia king prawn,22
dhansak prawn,22
house red wine 75cl,22
mushroom chicken tikka,21
lamb rezala,20
vindaloo king prawn,17
mushroom lamb,17
dupiaza chicken tikka,16
bottle water 75cl,16
bhuna king prawn,16
dhansak king prawn,15
malaya chicken,15
malaya chicken tikka,14
bhuna prawn,14
bombay lamb,13
dupiaza prawn,12
madras prawn,11
perrier water 75cl,11
rogon chicken tikka,10
saag chicken tikka,9
cylon chicken tikka,9
bombay chicken tikka,9
pathia prawn,8
cylon king prawn,7
vindaloo prawn,5
malaya lamb,4
malaya prawn,4
paner pakora,4
dupiaza king prawn,4
methi prawn,3
methi chicken tikka,3
cylon lamb,2
bombay king prawn,2
methi king prawn,2
saag king prawn,2
cylon prawn,2
rogon king prawn,1
bombay prawn,1
saag prawn,1
mushroom king prawn,1
